ws_id,wsdl_address,ws_name,provider,country
46,http://www11.nrk.no/urort/_websvc/TagCompletionWebService.asmx?WSDL,TagCompletionWebServ...,nrk.no,Norway
47,http://las.aei.polsl.pl/las2/las2.asmx?WSDL,Las2Service,polsl.pl,Poland
48,http://streemo.pl/Portal/WebServices/SongService.asmx?WSDL,SongService,streemo.pl,Poland
49,http://bb4.tivi.pl/WebServices/SendToFriendService.asmx?WSDL,SendToFriendService,tivi.pl,Poland
50,http://www.adecco.co.kr/WebService/CheckID.asmx?WSDL,CheckID,adecco.co.kr,Republic of Korea
51,http://webservice.direct.co.kr/directsms1.x/directsms.asmx?WSDL,DirectSms,direct.co.kr,Republic of Korea
52,http://www.kobaco.co.kr:8182/DLiWeb20/Components/Portal/LibrarySchedule/wsLibSchedule.asmx?WSDL,wsLibSchedule,kobaco.co.kr,Republic of Korea
53,http://services.telekom.yu/WSResearch/registration.asmx?WSDL,Research,services.telekom.yu,Serbia and Montenegro
54,http://wsp.24.com/messenger/jabber.asmx?WSDL,Jabber,24.com,South Africa
55,http://biomoby.org/services/wsdl/inb.bsc.es/runTcoffeeFromProfiles,runTcoffeeFromProfil...,bsc.es,Spain
56,http://biomoby.org/services/wsdl/inb.bsc.es/runTcoffeeEvaluateAlignments,runTcoffeeEvaluateAl...,bsc.es,Spain
57,http://biomoby.org/services/wsdl/mmb.pcb.ub.es/parseFeatureAASequenceFromFSOLVText,parseFeatureAASequen...,ub.es,Spain
58,http://was.anuntis.com/wswas/alerts.asmx?wsdl,Alerts,anuntis.com,Spain
59,http://www.metromadrid.es/redmetro/calculo/Calculo.asmx?WSDL,Calculo,metromadrid.es,Spain
60,http://www.saniline.com/sespa/notifications.asmx?WSDL,Notifications,saniline.com,Spain
61,http://www.local24.de/Services/AdUpsellingKeywords.asmx?WSDL,AdUpsellingKeywords,local24.de,Switzerland
62,http://www.reconline.com/booknow/ws_asm.asmx?WSDL,ws_asm,reconline.com,Switzerland
63,http://ws.acronyms.ch/search?WSDL,SearchServiceService,acronyms.ch,Switzerland
64,http://wslogin.sanook.com/SMIProvisioning.asmx?WSDL,SMIProvisioning,sanook.com,Thailand
65,http://89.238.134.82/MKServer/php/MKLicenceAdminWebService.php?wsdl,MKLicenceAdminWebSer,89.238.134.82,United Kingdom
66,http://www.cms-store.eu/Site/AutoComplete.asmx?WSDL,AutoComplete,cms-store.eu,United Kingdom
67,http://nofiasco.com/WS/wsModule.asmx?WSDL,wsModule,nofiasco.com,United Kingdom
68,http://82.111.18.218/ReleaseNotes/WebService.asmx?WSDL,WebService,82.111.18.218,United Kingdom
69,http://content.metropix.com/mtpix/propertyservices.asmx?wsdl,propertyservices,metropix.com,United Kingdom
70,http://ppdev.vbi.vt.edu:6565/axis/services/sigcleave?wsdl,SigcleaveService,vt.edu,United States
71,http://ppdev.bioinformatics.vt.edu:6565/axis/services/timelogicinterpro?wsdl,TimelogicinterproSer,vt.edu,United States
72,http://www.webservicex.net/periodictable.asmx?wsdl,periodictable,webservicex.net,United States
73,http://rguha.ath.cx:8080/pws/EchoHeaders.jws?wsdl,EchoHeadersService,ath.cx,United States
74,http://mssoapinterop.org/asmx/wsdl/InteropTestDocLitParameters.wsdl,WSDLInteropTestDocLi,mssoapinterop.org,United States
75,http://ws.xwebservices.com/XWebLead/XWebLead.asmx?wsdl,XWebLead,xwebservices.com,United States
76,http://aspalliance.com/quickstart/aspplus/samples/services/MathService/VB/MathService.asmx?wsdl,MathService,aspalliance.com,United States
77,http://aspalliance.com/quickstart/aspplus/samples/services/Intrinsics/VB/SessionService1.asmx?wsdl,SessionService1,aspalliance.com,United States
78,http://skyservice.pha.jhu.edu/casjobs/CasGroups.asmx?WSDL,CasGroups,jhu.edu,United States
79,http://oscar.snapps.com/projects/lotusphere/rws.nsf/FindRecipe?wsdl,RecipeService,snapps.com,United States
80,http://www.capitolmuseum.ca.gov/WorkArea/webservices/EktronAsyncProcessorWS.asmx?WSDL,EktronAsyncProcessor...,ca.gov,United States
81,http://www.deeptraining.com/webservices/mathservice.asmx?WSDL,Calculate,deeptraining.com,United States
82,http://www.hydroseek.net/search/internalWebservices/AutoCompleteServiceHU.asmx?WSDL,AutoCompleteServiceH...,hydroseek.net,United States
83,http://fullerdata.com/ASPBridge/bridge.asmx?wsdl,ASP_x0020_to_x0020_A...,fullerdata.com,United States
84,http://www.ippages.com/soap/server.php?wsdl,showmyip,ippages.com,United States
85,http://216.33.67.161/webservices/pingservice.asmx?WSDL,PingService,216.33.67.161,United States
86,http://gcomputer.net/webservices/dilbert.asmx?WSDL,Dilbert,gcomputer.net,United States
87,http://www.sarma.co.in/tran/Trans.asmx?wsdl,Trans,sarma.co.in,United States
88,http://sixteencolors.net/Services/Artists.asmx?WSDL,Artists,sixteencolors.net,United States
89,http://adamkinney.com/Services/Comments.asmx?WSDL,Comments,adamkinney.com,United States
90,http://www.axisebusiness.com/adnano/codesamples/captcha/captchaWebService/captchaWebService.asmx?wsdl,captchaWebService,axisebusiness.com,United States
91,http://www.brendanconrad.com/services/AutoCompleteService.asmx?WSDL,AutoCompleteService,brendanconrad.com,United States
92,http://cluuz1.cluuz.com/Extract.asmx?WSDL,ExtractWS,cluuz.com,United States
93,http://www.connectmarkets.com/ws/IpToLocationWS.asmx?wsdl,IpToLocationWS,connectmarkets.com,United States
94,http://www.dotnetjohn.com/services/guestbook.asmx?wsdl,GuestBook,dotnetjohn.com,United States
95,http://crop.goofytalk.com/crop.asmx?WSDL,Crop,goofytalk.com,United States
96,http://www.nhuynhduc.com/tvan/sendmail.php?wsdl,sendmailWSDL,nhuynhduc.com,United States
97,http://web8.securetss.com/com/clearviewtss/util/HashProvider.cfc?wsdl,HashProviderService,securetss.com,United States
98,http://www.ecs.syr.edu/faculty/fawcett/handouts/CSE686/code/calcWebService/Calc.asmx?WSDL,Calculator_x0020_Web,syr.edu,United States
99,http://www.trixbox.org/soapCheckUserReg.php?wsdl,soapCheckUserReg,trixbox.org,United States
